lag_s,n_pairs,msd_player,msd_centroid,msd_relative,cross_term,f_centroid,f_relative,f_cross,f_sum,f_centroid_ci_low,f_centroid_ci_high,f_relative_ci_low,f_relative_ci_high,f_cross_ci_low,f_cross_ci_high,n_bootstrap,bootstrap_unit
1.0,1010180,4.283292810976965,2.4981081111515726,1.8871425568545475,-0.10195785702915494,0.5832214189862461,0.4405821969533094,-0.02380361593955554,1.0,0.55300992362096,0.6086488457944144,0.4119872970005311,0.47290804210560217,-0.029482951315324454,-0.0169789067656507,200,match_id+match_phase+team+source_key
2.0,1009627,15.914596622190421,9.5382921657476,6.568086059061814,-0.19178160261899402,0.5993423768245524,0.41270829635126555,-0.012050673175818009,1.0,0.5747678681822465,0.6231760049772144,0.3871637244099376,0.4382279877095707,-0.014725455359815799,-0.00886814166372184,200,match_id+match_phase+team+source_key
3.0,1009077,33.09349109936899,20.390679244579196,12.980796679273187,-0.2779848244833899,0.6161537682244711,0.3922462166441152,-0.008399984868586148,1.0000000000000002,0.5917312282730601,0.6399653560975612,0.36695993587460674,0.41773483417005314,-0.01032155568880819,-0.006174517785003718,200,match_id+match_phase+team+source_key
4.0,1008527,54.211678881790434,34.235629191797095,20.335428486460266,-0.3593787964669322,0.6315175972773047,0.375111579384989,-0.006629176662293826,0.9999999999999999,0.6062606218169725,0.6555527508873792,0.34965642113166095,0.40114175689536863,-0.008241722533980913,-0.004733439471219985,200,match_id+match_phase+team+source_key
5.0,1007978,78.00302155100046,50.31241341428104,28.12488148472987,-0.4342733480104431,0.6450059550755407,0.36056143628155574,-0.005567391357096386,1.0,0.6189044860194403,0.6694478253532183,0.33493218119453916,0.38727019895078424,-0.007074674996422986,-0.003858224924176256,200,match_id+match_phase+team+source_key
6.0,1007429,103.50545846437439,67.96722494461129,36.039254753105226,-0.5010212333421484,0.6566535326057705,0.34818699697378375,-0.0048405295795544475,0.9999999999999999,0.6301192928562771,0.6815453733540199,0.32226546184056776,0.3755758516725572,-0.006264059611664738,-0.003282938320844606,200,match_id+match_phase+team+source_key
7.0,1006880,130.00034604431107,86.66645720413175,43.89605224430827,-0.5621634041289326,0.6666632808392001,0.3376610415278906,-0.004324322367090602,1.0,0.6396939619867191,0.6919955577043965,0.31141199538794756,0.36567622506438346,-0.005750082323420781,-0.0029405967373142606,200,match_id+match_phase+team+source_key
8.0,1006331,156.95771075234623,105.99199682029918,51.5865958146102,-0.6208818825631645,0.6752901549866341,0.3286655721935539,-0.003955727180188141,0.9999999999999998,0.6479068023839467,0.701030024323688,0.30207630115332124,0.3572127191739248,-0.005407536682850203,-0.0027125554526576776,200,match_id+match_phase+team+source_key
9.0,1005782,183.99674071807863,125.62282244126578,59.04379649687329,-0.669878220060439,0.6827448244517882,0.3208958825381624,-0.0036407069899506103,1.0,0.6549599931231587,0.7088663489798922,0.2939879552990203,0.3497820386547775,-0.005147254535505375,-0.0024268896454777288,200,match_id+match_phase+team+source_key
10.0,1005233,210.85069098542147,145.32706780981002,66.23628594391171,-0.7126627683002207,0.6892416009196676,0.31413833947782216,-0.0033799403974895926,1.0000000000000002,0.6609101053542962,0.7157192854299163,0.2869265723181784,0.34334410184882574,-0.004944863561489451,-0.0021188305713150278,200,match_id+match_phase+team+source_key
11.0,1004684,237.34224324944884,164.93768999606056,73.15297151351815,-0.7484182601298802,0.6949360878110078,0.3082172415326576,-0.0031533293436654926,0.9999999999999999,0.6660244099301272,0.7217529321923896,0.2807079128887532,0.337733479070743,-0.0047661923297185,-0.0018387808259590754,200,match_id+match_phase+team+source_key
12.0,1004135,263.34765465158705,184.34002820186157,79.78715401959575,-0.7795275698702621,0.6999873549120695,0.3029727153832274,-0.0029600702952968724,1.0,0.6705584833266177,0.7271069455464296,0.2752068445462812,0.332757437888219,-0.004599737412046908,-0.001593198432808644,200,match_id+match_phase+team+source_key
13.0,1003586,288.79256418550307,203.4565863901531,86.14296681497628,-0.8069890196262612,0.70450770422006,0.2982866510359428,-0.0027943552560027126,1.0000000000000002,0.6746363203750633,0.7318913879042227,0.2703020127705554,0.3282927400257925,-0.004461696154858312,-0.0014327059026419714,200,match_id+match_phase+team+source_key
14.0,1003037,313.63692051379996,222.23678208289016,92.23278873388952,-0.8326503029797314,0.708579786202536,0.2940750361366697,-0.002654822339205741,0.9999999999999998,0.6783332775169825,0.7362019255643221,0.2659054616179249,0.3243771581956794,-0.004341908601102453,-0.0012389324999731585,200,match_id+match_phase+team+source_key
15.0,1002488,337.86023764584905,240.6466957610651,98.07021438592186,-0.8566725011379347,0.7122669937067739,0.2902685887787741,-0.002535582485548103,0.9999999999999998,0.6817140402499274,0.7401054028789903,0.2619354216219971,0.32074764936433187,-0.004239205568205943,-0.001118559027298392,200,match_id+match_phase+team+source_key
16.0,1001940,361.4556132248489,258.66231101845153,103.66783061561567,-0.8745284092183488,0.7156129315871124,0.2868065312105903,-0.00241946279770273,1.0,0.6847924743584834,0.7436575809091629,0.2583252206045753,0.3174251564166691,-0.0041521124758049826,-0.0010282639731288993,200,match_id+match_phase+team+source_key
17.0,1001392,384.41932890522287,276.2708995911191,109.03699578037023,-0.8885664662663899,0.7186706776110954,0.2836407734514642,-0.0023114510625595066,1.0,0.6876441603347175,0.7469052581812178,0.25502418774567126,0.3143811815713514,-0.004071593624823771,-0.000939697546303985,200,match_id+match_phase+team+source_key
