cluster,lag_s,sum_player,sum_centroid,sum_relative,sum_cross,n_pairs
2020-07-03__1H__rosenborg__A,53.0,28108215.69497827,20391894.684219815,7455450.533243397,260870.47751506255,31908
2020-07-03__1H__rosenborg__A,54.0,28248643.194511343,20507892.147919726,7479757.733758397,260993.31283322693,31889
2020-07-03__1H__rosenborg__A,55.0,28371763.71446119,20610735.665299065,7500419.461013186,260608.5881489364,31870
2020-07-03__1H__rosenborg__A,56.0,28478593.65452635,20700710.767642707,7517892.731741456,259990.15514218214,31851
2020-07-03__1H__rosenborg__A,57.0,28570138.03035922,20778421.74945318,7532620.541844192,259095.73906184803,31832
2020-07-03__1H__rosenborg__A,58.0,28647392.729070973,20843990.791750167,7545381.30047084,258020.63684995787,31813
2020-07-03__1H__rosenborg__A,59.0,28711871.09733327,20897828.496266045,7557210.18431516,256832.4167520696,31794
2020-07-03__1H__rosenborg__A,60.0,28765269.315192223,20941108.50229256,7568704.927509887,255455.88538977754,31775
2020-07-03__2H__rosenborg__A,1.0,131396.6974846459,80468.40522050172,54251.84011340514,-3323.547849260951,30793
2020-07-03__2H__rosenborg__A,2.0,488841.96833172586,305016.3668138059,190292.82157064328,-6467.220052723345,30776
2020-07-03__2H__rosenborg__A,3.0,1008703.4084967859,644241.0108478661,373647.32811161835,-9184.930462698565,30759
2020-07-03__2H__rosenborg__A,4.0,1634363.665721152,1066409.810873882,579375.1300696647,-11421.275222394612,30742
2020-07-03__2H__rosenborg__A,5.0,2322371.774760464,1543418.576521747,792200.4610718561,-13247.262833138695,30725
2020-07-03__2H__rosenborg__A,6.0,3041105.6009990107,2052846.117139332,1003312.0739001584,-15052.59004048018,30708
2020-07-03__2H__rosenborg__A,7.0,3769337.3217126797,2578190.1875063744,1208229.3084075218,-17082.174201217218,30691
2020-07-03__2H__rosenborg__A,8.0,4493716.431980896,3107985.546549538,1405089.5124594786,-19358.627028120638,30674
2020-07-03__2H__rosenborg__A,9.0,5206915.30214845,3635103.1107447473,1593661.9950605934,-21849.80365688933,30657
2020-07-03__2H__rosenborg__A,10.0,5906831.990450831,4155953.8394607664,1775260.0778407026,-24381.926850638294,30640
2020-07-03__2H__rosenborg__A,11.0,6593245.799699556,4669517.8834046405,1950810.907957379,-27082.99166246556,30623
2020-07-03__2H__rosenborg__A,12.0,7266830.987588945,5176107.532106365,2120876.938556297,-30153.483073718395,30606
2020-07-03__2H__rosenborg__A,13.0,7927972.619055204,5676628.888693176,2285070.989374713,-33727.259012683586,30589
2020-07-03__2H__rosenborg__A,14.0,8577088.825115835,6172133.735390387,2442896.171523319,-37941.08179786976,30572
2020-07-03__2H__rosenborg__A,15.0,9214531.398986513,6663821.106932379,2593546.0447200877,-42835.752665952925,30555
2020-07-03__2H__rosenborg__A,16.0,9841485.81935185,7152832.7642218955,2736949.979976133,-48296.924846177804,30538
2020-07-03__2H__rosenborg__A,17.0,10459704.397720624,7640243.06488207,2873486.833606956,-54025.50076840265,30521
