lag_s,msd_centroid,msd_centroid_ci_low,msd_centroid_ci_high,alpha_local_centroid,msd_player_abs,msd_player_abs_ci_low,msd_player_abs_ci_high,alpha_local_player_abs,msd_player_rel,msd_player_rel_ci_low,msd_player_rel_ci_high,alpha_local_player_rel,fit_window_flag,early_window_flag,n_bootstrap,bootstrap_unit
1.0,2.5620830310198106,2.445965427839316,2.7006384457896786,1.9339958774049895,,,,,,,,,False,True,200,match_id+match_phase+team+source_key
1.000021516371517,,,,,4.284379743572315,4.152630042021929,4.414134428384507,1.8934766682300435,,,,,False,True,200,match_id+match_phase+team+source_key
1.0005053834765565,,,,,,,,,1.8877086397315952,1.759832947582979,2.0348417195117263,1.7993161252797245,False,True,200,match_id+match_phase+team+source_key
2.0,9.790028828828119,9.327277168553522,10.345815657838921,1.8961331045314491,,,,,,,,,False,True,200,match_id+match_phase+team+source_key
2.000042100724481,,,,,15.917719499368788,15.536674447231613,16.414872446075428,1.8379109203686532,,,,,False,True,200,match_id+match_phase+team+source_key
2.0010149958391383,,,,,,,,,6.57029304785855,6.2362642888315465,6.955717845529882,1.7241372993400321,False,True,200,match_id+match_phase+team+source_key
3.0,20.930341480554144,19.91308145615566,22.1411559604519,1.831285047054835,,,,,,,,,False,True,200,match_id+match_phase+team+source_key
3.0000571200181545,,,,,33.09753839715993,32.319331099930956,34.17757082571854,1.7527546924850377,,,,,False,True,200,match_id+match_phase+team+source_key
3.001524288013105,,,,,,,,,12.985143922594336,12.335172268324488,13.776906992696878,1.6100991193733316,False,True,200,match_id+match_phase+team+source_key
4.0,35.13901758391661,33.41738540030412,37.20305600819428,1.7580535471023921,,,,,,,,,False,True,200,match_id+match_phase+team+source_key
4.000072266525328,,,,,54.21438253541386,52.91200571011853,56.09892474171853,1.6674753057797442,,,,,False,False,200,match_id+match_phase+team+source_key
4.002039056598496,,,,,,,,,20.342343876307485,19.29623625545277,21.549464167493145,1.5001022806643167,False,False,200,match_id+match_phase+team+source_key
5.0,51.633929229543455,49.10043489407051,54.695802250320796,1.6830563243439531,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
5.000076866058656,,,,,78.00194797753733,76.07196478306246,80.81329016028435,1.5867903531835736,,,,,True,False,200,match_id+match_phase+team+source_key
5.002548725113099,,,,,,,,,28.13482330647291,26.591533642071568,29.793119761667622,1.401979821429805,True,False,200,match_id+match_phase+team+source_key
6.0,69.74358330577314,66.32827416850257,73.92219460209373,1.6093418758894682,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
6.000081483695654,,,,,103.49826837325018,100.87744385704623,107.14213699207241,1.5116671434934013,,,,,True,False,200,match_id+match_phase+team+source_key
6.003063958806032,,,,,,,,,36.052254447430684,33.940069971668954,38.26972467789154,1.316362548681381,True,False,200,match_id+match_phase+team+source_key
7.0,88.9201811387363,84.5830965321418,94.28200380382336,1.5387450966063376,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
7.000086119573601,,,,,129.98516414479886,126.62728494977435,134.49598946120324,1.442139816254759,,,,,True,False,200,match_id+match_phase+team+source_key
7.003584860531746,,,,,,,,,43.91254618071709,41.18509447637216,46.73056342569178,1.2417659399066086,True,False,200,match_id+match_phase+team+source_key
8.0,108.73584018349332,103.45957039451947,115.28521085084834,1.4722289449644883,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
8.000090773831522,,,,,156.93276625321582,152.80197985146427,162.45795537277505,1.3781293784633384,,,,,True,False,200,match_id+match_phase+team+source_key
8.004111535774218,,,,,,,,,51.60701068340095,48.285858896383246,55.05695345516609,1.1760051115417625,True,False,200,match_id+match_phase+team+source_key
9.0,128.86316593214994,122.52445219003548,136.63433426257416,1.4103904847212085,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
9.000095446610219,,,,,183.96267039804886,179.03001612483644,190.52659770726595,1.319514017759733,,,,,True,False,200,match_id+match_phase+team+source_key
9.004644092732393,,,,,,,,,59.070587924368674,55.146643786897705,63.166382725834424,1.1178140315872156,True,False,200,match_id+match_phase+team+source_key
10.0,149.06496668591876,141.57057488665933,158.0604760926424,1.3534636323121951,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
10.000100138052309,,,,,210.8097582826429,205.04002942477715,218.42821525836587,1.265933752656693,,,,,True,False,200,match_id+match_phase+team+source_key
10.005182642409011,,,,,,,,,66.27266052643473,61.7478151996922,71.02520762885241,1.0659703511666265,True,False,200,match_id+match_phase+team+source_key
11.0,169.1696403425875,160.51214601830824,179.37485156939678,1.3013237571873368,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
11.00010484830227,,,,,237.29025729453082,230.63988056765785,245.90937142095368,1.2170649207780073,,,,,True,False,200,match_id+match_phase+team+source_key
11.005727298702938,,,,,,,,,73.19617808943019,68.0829026944394,78.60994697878064,1.0193889756108447,True,False,200,match_id+match_phase+team+source_key
12.0,189.05848323573733,179.25205627550102,200.48721251626023,1.2537794460231169,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
12.000109577506462,,,,,263.28583736748186,255.7025267841693,273.0342587532768,1.1726371084812044,,,,,True,False,200,match_id+match_phase+team+source_key
12.006278178505193,,,,,,,,,79.83853870301172,74.15234301051177,85.95346954445544,0.9775658997346426,True,False,200,match_id+match_phase+team+source_key
13.0,208.65202996749574,197.72831850984034,221.51374142440628,1.2104931995719141,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
13.000114325813188,,,,,288.7244811715254,280.1505387298336,299.5474580467564,1.1322685490209423,,,,,True,False,200,match_id+match_phase+team+source_key
13.00683540179884,,,,,,,,,86.20529198237568,79.96196552010606,93.01528212449072,0.9401016185343636,True,False,200,match_id+match_phase+team+source_key
14.0,227.8985122536719,215.90445142192735,242.2808661942296,1.1709868395294194,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
14.00011909337271,,,,,313.5655566956677,304.0500590766242,325.44923411425793,1.09549303889046,,,,,True,False,200,match_id+match_phase+team+source_key
14.007399091762911,,,,,,,,,92.3087718071874,85.52375380042314,99.79445510236975,0.906505302390471,True,False,200,match_id+match_phase+team+source_key
15.0,246.76360135536248,233.7601825224438,262.6803164505807,1.1346773955787768,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
15.000123880337316,,,,,337.7879558917262,327.52831100114275,350.70990961144486,1.0617765460094049,,,,,True,False,200,match_id+match_phase+team+source_key
15.007969374880576,,,,,,,,,98.16223752631016,90.85133023507596,106.30056470840317,0.8758942071005151,True,False,200,match_id+match_phase+team+source_key
16.0,265.2230378640549,251.28350559088867,282.6788595703009,1.1011145775620008,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
16.00012868686135,,,,,361.38099947091916,350.4425888083139,375.5525310137968,1.0306534579295032,,,,,True,False,200,match_id+match_phase+team+source_key
16.008546381051737,,,,,,,,,103.77598895886003,95.95107339899164,112.54241117292652,0.8478202169091205,True,False,200,match_id+match_phase+team+source_key
17.0,283.2631464746896,268.1216590585702,302.25711529349144,1.0698555715898266,,,,,,,,,True,False,200,match_id+match_phase+team+source_key
17.000132374583487,,,,,384.3428703280452,372.6063866499857,399.83270653500284,1.001834145223306,,,,,True,False,200,match_id+match_phase+team+source_key
