length_l,centroid_ccdf,centroid_ci_low,centroid_ci_high,player_ccdf,player_ci_low,player_ci_high,null_ccdf,n_centroid_at_risk,n_player_at_risk,reliable_support_flag,n_bootstrap,bootstrap_unit
0.0029397354279826235,1.0,1.0,1.0,1.0,1.0,1.0,0.999546339767255,18021,309693,True,200,match_id+match_phase+team+source_key
0.003122530447268291,0.9998890183674601,0.9997242429777997,1.0,1.0,1.0,1.0,0.999518137621093,18019,309693,True,200,match_id+match_phase+team+source_key
0.003316691802026727,0.9998890183674601,0.9997242429777997,1.0,1.0,1.0,1.0,0.9994881827151796,18019,309693,True,200,match_id+match_phase+team+source_key
0.0035229262597759187,0.9998335275511903,0.9996220608055356,1.0,1.0,1.0,1.0,0.9994563661732784,18018,309693,True,200,match_id+match_phase+team+source_key
0.0037419845353839523,0.9998335275511903,0.9996220608055356,1.0,1.0,1.0,1.0,0.9994225723634635,18018,309693,True,200,match_id+match_phase+team+source_key
0.00397466402374919,0.9997780367349204,0.9995521251365979,0.9999443474363162,1.0,1.0,1.0,0.9993866784798818,18017,309693,True,200,match_id+match_phase+team+source_key
0.004221811702400621,0.9997780367349204,0.9995521251365979,0.9999443474363162,1.0,1.0,1.0,0.9993485540987416,18017,309693,True,200,match_id+match_phase+team+source_key
0.004484327214584098,0.9997780367349204,0.9995521251365979,0.9999443474363162,1.0,1.0,1.0,0.999308060706959,18017,309693,True,200,match_id+match_phase+team+source_key
0.004763166144057301,0.9996670551023805,0.9994063499905547,0.999889221378604,1.0,1.0,1.0,0.999265051201794,18015,309693,True,200,match_id+match_phase+team+source_key
0.005059343493513979,0.9995560734698408,0.9991903550874351,0.9998318597697623,1.0,1.0,1.0,0.9992193693597107,18013,309693,True,200,match_id+match_phase+team+source_key
0.00537393737929925,0.9995005826535708,0.9991361048234981,0.9997778548698472,1.0,1.0,1.0,0.9991708492725913,18012,309693,True,200,match_id+match_phase+team+source_key
0.005708092955865228,0.9994450918373009,0.9990719990947668,0.9997750878092175,1.0,1.0,1.0,0.9991193147493229,18011,309693,True,200,match_id+match_phase+team+source_key
0.006063026584252253,0.999389601021031,0.9989254399406774,0.9997217660190818,1.0,1.0,1.0,0.9990645786806596,18010,309693,True,200,match_id+match_phase+team+source_key
0.006440030259769555,0.9993341102047612,0.9988496919138671,0.9997184477591003,1.0,1.0,1.0,0.9990064423651355,18009,309693,True,200,match_id+match_phase+team+source_key
0.006840476314992523,0.9993341102047612,0.9988496919138671,0.9997184477591003,1.0,1.0,1.0,0.9989446947936803,18009,309693,True,200,match_id+match_phase+team+source_key
0.00726582241519593,0.9992786193884912,0.998792811625515,0.9996648544398467,1.0,1.0,1.0,0.998879111890446,18008,309693,True,200,match_id+match_phase+team+source_key
0.0077176168644070885,0.9991121469396815,0.998593188087482,0.999550175618435,1.0,1.0,1.0,0.9988094557072109,18005,309693,True,200,match_id+match_phase+team+source_key
0.008197504241393523,0.9989456744908718,0.998354278309533,0.9994342545191576,0.9996964736045051,0.9995947387014491,0.9998180371509378,0.9987354735685757,18002,309599,True,200,match_id+match_phase+team+source_key
0.008707231386100604,0.9987237112257922,0.9981604506754777,0.9991064719524346,0.999112023842967,0.9988181939689622,0.9994234700539887,0.9986568971650037,17998,309418,True,200,match_id+match_phase+team+source_key
0.009248653758330633,0.9986682204095222,0.998141523733924,0.9990989810940727,0.9988246424685091,0.9984794360795315,0.9991233433213736,0.9985734415905901,17997,309329,True,200,match_id+match_phase+team+source_key
