track_type,k,tau_s,msd_m2,ci_low,ci_high,n_bootstrap,bootstrap_unit
centroid,63,63.0,712.0112917598767,661.7800595694656,761.3277526826312,200,match_id+match_phase+team+source_key
centroid,64,64.0,715.2945356377193,664.5017133159587,765.8636695024745,200,match_id+match_phase+team+source_key
centroid,65,65.0,718.4327706475599,667.0647121885764,770.2428803383361,200,match_id+match_phase+team+source_key
centroid,66,66.0,721.4328715838936,669.4700989792912,774.4695073712145,200,match_id+match_phase+team+source_key
centroid,67,67.0,724.304725851343,671.7301930481622,777.1491808844474,200,match_id+match_phase+team+source_key
centroid,68,68.0,727.0588517732517,673.8600820868734,779.5700031696176,200,match_id+match_phase+team+source_key
centroid,69,69.0,729.7098506754916,675.8861248438135,781.8549104420683,200,match_id+match_phase+team+source_key
centroid,70,70.0,732.2764870459092,677.8373679420666,784.0349765868956,200,match_id+match_phase+team+source_key
centroid,71,71.0,734.7772619855439,679.7339876246032,786.1402374511091,200,match_id+match_phase+team+source_key
centroid,72,72.0,737.2287876543583,681.6007345001964,788.5494095235889,200,match_id+match_phase+team+source_key
centroid,73,73.0,739.6415212943248,683.4537059003319,791.2167223043388,200,match_id+match_phase+team+source_key
centroid,74,74.0,742.0227372627608,685.3012459732303,793.8459275950623,200,match_id+match_phase+team+source_key
centroid,75,75.0,744.3753517544649,687.1267410407356,796.4459298307199,200,match_id+match_phase+team+source_key
centroid,76,76.0,746.7023318072233,688.9406051244544,799.0245430044697,200,match_id+match_phase+team+source_key
centroid,77,77.0,749.0015946662761,690.7415657857866,801.5797478016899,200,match_id+match_phase+team+source_key
centroid,78,78.0,751.2704910840488,692.5219833331337,804.1067754644532,200,match_id+match_phase+team+source_key
centroid,79,79.0,753.5014499288773,694.2653674465475,806.5920236170566,200,match_id+match_phase+team+source_key
centroid,80,80.0,755.6936452271304,695.9690756945266,809.0197264436832,200,match_id+match_phase+team+source_key
centroid,81,81.0,757.8371806382982,697.623969654504,811.375484802649,200,match_id+match_phase+team+source_key
centroid,82,82.0,759.9285215973817,699.227328387417,813.652418098678,200,match_id+match_phase+team+source_key
centroid,83,83.0,761.9636936610121,700.7750469046182,815.845049193387,200,match_id+match_phase+team+source_key
centroid,84,84.0,763.9455058930445,702.2701995222544,818.0302964940289,200,match_id+match_phase+team+source_key
centroid,85,85.0,765.8754686450499,703.7125958158533,820.9242872422557,200,match_id+match_phase+team+source_key
centroid,86,86.0,767.7579620192087,705.1153783813897,823.790388912716,200,match_id+match_phase+team+source_key
centroid,87,87.0,769.5915982714752,706.4786141858705,826.6283720886246,200,match_id+match_phase+team+source_key
centroid,88,88.0,771.3775082644296,707.8088989652607,829.4349665675259,200,match_id+match_phase+team+source_key
centroid,89,89.0,773.1177668233964,709.1113008869897,832.2062394844177,200,match_id+match_phase+team+source_key
centroid,90,90.0,774.8115978337596,710.3771512846745,834.5220200123749,200,match_id+match_phase+team+source_key
centroid,91,91.0,776.4546530545065,711.837026201299,836.1666665947962,200,match_id+match_phase+team+source_key
centroid,92,92.0,778.0396618362977,713.5165926190946,837.75263309158,200,match_id+match_phase+team+source_key
centroid,93,93.0,779.5703542728181,715.1424994516229,839.259153025584,200,match_id+match_phase+team+source_key
centroid,94,94.0,781.0472922198265,716.6967547433406,840.7188992508384,200,match_id+match_phase+team+source_key
centroid,95,95.0,782.4697525651487,718.1755394569806,842.1362089891836,200,match_id+match_phase+team+source_key
centroid,96,96.0,783.8356239514308,719.5855451656819,843.5164472010354,200,match_id+match_phase+team+source_key
centroid,97,97.0,785.1407157500474,720.9321805657393,844.8569836669922,200,match_id+match_phase+team+source_key
centroid,98,98.0,786.3824942638109,721.6815954654674,846.1261271403076,200,match_id+match_phase+team+source_key
centroid,99,99.0,787.559691748331,722.083962339197,847.2978741975717,200,match_id+match_phase+team+source_key
centroid,100,100.0,788.671733176107,723.1622728412599,847.9511945418919,200,match_id+match_phase+team+source_key
centroid,101,101.0,789.7247374776027,724.1834261555392,848.5210589913669,200,match_id+match_phase+team+source_key
centroid,102,102.0,790.7287060437101,725.1642861565749,849.0244489986065,200,match_id+match_phase+team+source_key
centroid,103,103.0,791.69134493545,726.1255434320601,849.4758591196643,200,match_id+match_phase+team+source_key
centroid,104,104.0,792.6231768142085,727.0871193792266,850.936699679752,200,match_id+match_phase+team+source_key
centroid,105,105.0,793.5280580816517,728.0460541492722,852.5420244765521,200,match_id+match_phase+team+source_key
centroid,106,106.0,794.4108822978391,729.0135961169128,854.1391290270943,200,match_id+match_phase+team+source_key
centroid,107,107.0,795.276312615729,729.9950488232098,855.7343518184515,200,match_id+match_phase+team+source_key
centroid,108,108.0,796.1247328398983,730.9901338871958,857.3268578218193,200,match_id+match_phase+team+source_key
centroid,109,109.0,796.9544364739457,731.9914021587359,858.5769995795837,200,match_id+match_phase+team+source_key
centroid,110,110.0,797.7587487072788,732.9769761852849,859.5571111554422,200,match_id+match_phase+team+source_key
centroid,111,111.0,798.5334015674409,733.9456380636965,860.5051895162882,200,match_id+match_phase+team+source_key
centroid,112,112.0,799.270855415379,734.8819001863451,861.4100814349208,200,match_id+match_phase+team+source_key
centroid,113,113.0,799.9704810152047,735.7731822145079,862.2492415077785,200,match_id+match_phase+team+source_key
centroid,114,114.0,800.6384613380866,736.4752909725984,863.0392053883872,200,match_id+match_phase+team+source_key
centroid,115,115.0,801.2809290421806,737.0358592307763,863.7895233344999,200,match_id+match_phase+team+source_key
centroid,116,116.0,801.9047790811416,737.5677441711767,864.4985670531945,200,match_id+match_phase+team+source_key
centroid,117,117.0,802.5251852503819,738.1006274256151,865.2048881582963,200,match_id+match_phase+team+source_key
centroid,118,118.0,803.1604934312804,738.6459391812651,865.9376802598747,200,match_id+match_phase+team+source_key
centroid,119,119.0,803.8173722861129,739.2105762465443,866.7052072985606,200,match_id+match_phase+team+source_key
centroid,120,120.0,804.507144181442,739.7959480222047,867.5232722692599,200,match_id+match_phase+team+source_key
player_abs,1,1.000021516371517,4.284379743572315,4.152630042021929,4.414134428384507,200,match_id+match_phase+team+source_key
player_abs,2,2.000042100724481,15.917719499368788,15.536674447231613,16.414872446075428,200,match_id+match_phase+team+source_key
player_abs,3,3.0000571200181545,33.09753839715993,32.319331099930956,34.17757082571854,200,match_id+match_phase+team+source_key
player_abs,4,4.000072266525328,54.21438253541386,52.91200571011853,56.09892474171853,200,match_id+match_phase+team+source_key
player_abs,5,5.000076866058656,78.00194797753733,76.07196478306246,80.81329016028435,200,match_id+match_phase+team+source_key
player_abs,6,6.000081483695654,103.49826837325018,100.87744385704623,107.14213699207241,200,match_id+match_phase+team+source_key
player_abs,7,7.000086119573601,129.98516414479886,126.62728494977435,134.49598946120324,200,match_id+match_phase+team+source_key
player_abs,8,8.000090773831522,156.93276625321582,152.80197985146427,162.45795537277505,200,match_id+match_phase+team+source_key
player_abs,9,9.000095446610219,183.96267039804886,179.03001612483644,190.52659770726595,200,match_id+match_phase+team+source_key
player_abs,10,10.000100138052309,210.8097582826429,205.04002942477715,218.42821525836587,200,match_id+match_phase+team+source_key
player_abs,11,11.00010484830227,237.29025729453082,230.63988056765785,245.90937142095368,200,match_id+match_phase+team+source_key
player_abs,12,12.000109577506462,263.28583736748186,255.7025267841693,273.0342587532768,200,match_id+match_phase+team+source_key
player_abs,13,13.000114325813188,288.7244811715254,280.1505387298336,299.5474580467564,200,match_id+match_phase+team+source_key
player_abs,14,14.00011909337271,313.5655566956677,304.0500590766242,325.44923411425793,200,match_id+match_phase+team+source_key
player_abs,15,15.000123880337316,337.7879558917262,327.52831100114275,350.70990961144486,200,match_id+match_phase+team+source_key
player_abs,16,16.00012868686135,361.38099947091916,350.4425888083139,375.5525310137968,200,match_id+match_phase+team+source_key
