track_type,fit_tau_left_s,fit_tau_right_s,alpha,alpha_se,alpha_ci_low_approx,alpha_ci_high_approx,n_fit_points,weighted_log_r2,intercept_log,superdiffusive_supported,uncertainty_type,alpha_boot_ci_low,alpha_boot_median,alpha_boot_ci_high,n_bootstrap,bootstrap_unit,alpha_ci_low,alpha_ci_high
centroid,5.0,30.0,1.2003766076222542,0.02668135206061486,1.148081157583449,1.2526720576610593,26,0.9882814865903711,2.1870615213060307,True,match_id+match_phase+team+source_key bootstrap percentile interval,1.180939767507142,1.1999729550860545,1.2190881866036893,200,match_id+match_phase+team+source_key,1.180939767507142,1.2190881866036893
player_abs,5.0,30.0,1.1353485383609423,0.02490008379692725,1.0865443741189649,1.1841527026029197,25,0.9890580973693964,2.685856727207506,True,match_id+match_phase+team+source_key bootstrap percentile interval,1.1195133348849573,1.1356922674786114,1.1517301378256368,200,match_id+match_phase+team+source_key,1.1195133348849573,1.1517301378256368
player_rel,5.0,30.0,0.9501340952857168,0.023069745132679103,0.9049173948256658,0.9953507957457678,25,0.9866219019232568,1.9565114425757555,False,match_id+match_phase+team+source_key bootstrap percentile interval,0.9257657416580064,0.9501698759837036,0.9735156181761561,200,match_id+match_phase+team+source_key,0.9257657416580064,0.9735156181761561
