duration_s,empirical_ccdf,model,model_source_name,model_label,plot_label,model_ccdf,n_parameters,n,param_p,param_mean_duration_on_support,param_mu,param_sigma,param_shape,param_scale,param_alpha,param_tc,param_beta,support,sample_size,pooled_or_heldout_status,uncertainty_definition,contrast_direction
24,0.0296110233960097,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0064841897055089,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
25,0.0263815128462753,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0052085759846627,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
26,0.0233816563800775,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0041839096356105,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
27,0.0205971006171953,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0033608225915298,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
28,0.0176403042916606,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0026996588061083,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
29,0.0154298837376202,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0021685636390824,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
30,0.0135352375484426,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.001741949110795,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
31,0.0115831778383809,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0013992610822726,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
32,0.0100043060140663,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0011239889639882,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
33,0.0086407348930673,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0009028702414245,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
34,0.0074637577149418,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0007252514917561,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
35,0.0064159609588057,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0005825751056593,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
36,0.005468637864217,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0004679669846829,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
37,0.004794028993828,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0003759053495865,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
38,0.004105066743218,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0003019547029445,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
39,0.0034591646332711,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0002425521284296,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
40,0.0028706760442084,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0001948356307487,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
41,0.0025261949189034,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.000156506245709,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
42,0.0022104205540404,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0001257172769262,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
43,0.0019233529496196,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),0.0001009853226377,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
44,0.0016649921056408,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),8.11188059238398e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
45,0.0012918042198937,geometric_exponential,geometric,geometric/exponential,Geometric (discrete exponential),6.516056494776238e-05,1,69670,0.1967267737035008,5.083192191761159,,,,,,,,T >= 1 s,69670,pooled fitted curve,not plotted in panel A,not applicable
