model,delta_logL_per_run_vs_best,ci_low,ci_high,n_match_date_groups,total_eval_runs,plot_order,contrast_direction,pooled_or_heldout_status,uncertainty_definition,reference_model
Geometric (discrete exponential),-0.1698040203805136,-0.1756624215012928,-0.1635836866152295,47,69670,0,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
pure power law,-0.096437852161929,-0.0991440787814229,-0.0936667866602931,47,69670,1,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
log-normal,-0.032490670579122,-0.0338597862277792,-0.0310928026951753,47,69670,2,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
Weibull,-0.0189484469041763,-0.0201110954431201,-0.0178389555258044,47,69670,3,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
conventional truncated power law,-0.0102860949936813,-0.0111265613712789,-0.0094600105914534,47,69670,4,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
generalised-cutoff power law,0.0,0.0,0.0,47,69670,5,comparator log L - generalised-cutoff log L; negative favours generalised-cutoff,grouped leave-one-match-date-out,95% match-date-group bootstrap interval,generalised-cutoff power law
