duration,empirical_survival,age_only_survival,age_order_survival,age_order_boundary_reference_survival,hard_late_survival,smooth_late_survival
1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.5819174235695252,0.6312605072779727,0.6209904196459535,0.6163888801748807,0.6209904196453326,0.6209904196453326
3.0,0.4693275264319074,0.46540804560163457,0.4526854478387548,0.45650424343037127,0.4526854478378497,0.4526854478378497
4.0,0.3914357754792126,0.36673469815235005,0.36107130597774395,0.3689004112913269,0.361071305976661,0.361071305976661
5.0,0.3339589123520816,0.2998621842193331,0.30031969084412696,0.31023702235591366,0.30031969084292587,0.30031969084292587
6.0,0.2877997765107017,0.2510186800222501,0.25560107724601555,0.2665611548379986,0.25560107724473774,0.25560107724473774
7.0,0.2490759577089481,0.21358072636425232,0.22063196598482418,0.23195741089438704,0.22063196598350054,0.22063196598350054
8.0,0.2170711440932924,0.1839094191416351,0.1922402268562413,0.20356824727590006,0.19224022685489572,0.19224022685489572
9.0,0.1886049110340678,0.15981280395752492,0.16857339992601864,0.17962786675310838,0.1685733999246702,0.1685733999246702
10.0,0.1649809461046961,0.13987818036859964,0.14849589426040619,0.15912106531620748,0.1484958942590698,0.1484958942590698
11.0,0.1438210939514627,0.12314671666225313,0.13122117122850438,0.1412998898872292,0.13122117122719226,0.13122117122719226
12.0,0.1259132976132489,0.10894050520339096,0.11625127095919006,0.1257315616088055,0.11625127095791139,0.11625127095791139
13.0,0.1103406779175381,0.09676418160430798,0.10320612823566808,0.11202087501291519,0.10320612823442969,0.10320612823442969
14.0,0.0967307527004956,0.08624581261141243,0.09176331205633348,0.09988699637466841,0.09176331205514064,0.09176331205514064
15.0,0.0855849402595914,0.07709974039839912,0.08169800065431176,0.08911656428193682,0.08169800065316807,0.08169800065316807
16.0,0.0755565743101916,0.06910232720330309,0.07282123118380988,0.07951498703265739,0.07282123118271763,0.07282123118271763
17.0,0.0670324632532019,0.06207560277664917,0.06499727228830235,0.07099153235533882,0.06499727228726246,0.06499727228726246
18.0,0.0594682100799404,0.055875929155566585,0.05806717830512,0.0633829895337329,0.058067178304132924,0.058067178304132924
19.0,0.0532506231913125,0.05038595082570732,0.05192361917438791,0.05662249078995188,0.051923619173453346,0.051923619173453346
