model,parameter,estimate,bootstrap_p025,bootstrap_p25,bootstrap_p50,bootstrap_p75,bootstrap_p975,n_success,tau_lower_bound_hit_fraction,tau_upper_bound_hit_fraction
M1_inverse_age_order_hard_late,q,0.037095663316977355,0.03192173239441241,0.03530249313995866,0.037874275529843626,0.04006911198013354,0.043883077365122695,40,,
M1_inverse_age_order_hard_late,tc,25.50620664906055,24.689916148913806,25.379319137951263,25.477406379858138,25.719681756589647,26.000007210375756,40,,
M2_inverse_age_order_smooth_ramp,q,0.05648262286251054,0.03571651762804724,0.046134007400837555,0.055135556383248394,0.09006838347558585,0.17874288146130163,40,,
M2_inverse_age_order_smooth_ramp,tc,20.967386784775137,16.515472073972333,20.320236353288617,20.816406830964432,21.98793387995588,25.015205228000998,40,,
M2_inverse_age_order_smooth_ramp,tau_q,10.074864751764416,0.5,4.617900985218238,10.755731803224666,18.454304453109003,59.999999999999986,40,0.075,0.15
