bootstrap,model,success,message,q,tc,tau_q,log_likelihood_weighted,tau_at_lower_bound,tau_at_upper_bound
14,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03605463742513979,22.44856709539141,3.0854233612623205,-169332.02019454524,False,False
15,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.040475092476569184,25.44736854177125,,-153775.47165923985,False,False
15,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.05031147336763113,22.73505593716285,4.557132832405261,-153772.96764332752,False,False
16,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04266066233411056,24.680509897141068,,-181681.00050063233,False,False
16,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.055416955135627624,21.83266830098726,5.42911435571518,-181679.51210624207,False,False
17,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03537528794345878,25.74563439992369,,-158529.70674329204,False,False
17,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.10254914434785148,17.586263021954704,35.39176145454705,-158520.996714718,False,False
18,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.032165519556024036,26.000296373249647,,-167556.0048743862,False,False
18,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.15178752837123036,18.092148356888746,59.999999999999986,-167546.48001995252,False,True
19,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03956836001093459,25.154806988623406,,-162049.84332995128,False,False
19,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.05261020928848548,22.03851933927404,5.847885738771868,-162047.11693375086,False,False
20,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04226944044470046,25.380994228625934,,-165355.1648320889,False,False
20,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.07412197024310978,20.78354906976363,12.628376099116611,-165350.8261327122,False,False
21,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.036490981656032796,25.682309774044935,,-158477.3943403613,False,False
21,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.054854157630869156,20.366011363729925,11.269045835223729,-158476.81467479034,False,False
22,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04004000081198143,25.481997380793214,,-166345.11812466593,False,False
22,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.07900197297514198,21.828078445780037,12.375113169623209,-166335.28567949016,False,False
23,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.043512909211224436,25.550242639939672,,-177684.46740547038,False,False
23,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.07465447990030569,20.561485203389754,12.054808411883766,-177674.05897200803,False,False
24,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04735702920213739,25.685318501799923,,-160457.80216325077,False,False
24,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.0932800761740805,20.814571312328674,15.149505936614784,-160450.69822448443,False,False
25,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03215912190963249,25.590593033503964,,-153722.09214992734,False,False
25,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.06471350833701887,20.641021113757418,17.313908669929397,-153721.80428802033,False,False
26,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03831404455802452,25.374293865927246,,-167112.03905849232,False,False
26,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.13676200512568285,20.33776898069796,36.36013057071334,-167110.26802671375,False,False
27,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03453369081793555,25.19064131857035,,-168281.62332899272,False,False
27,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03785577740337549,21.971072060183158,2.8140953114048917,-168273.33866136364,False,False
28,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.034786355693830116,25.66661062238953,,-167616.3148665083,False,False
28,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03980537920508606,22.970852102943827,4.040784296941649,-167618.30732358468,False,False
29,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03560735628171545,25.999999795943094,,-141037.4484465678,False,False
29,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03823649540874148,22.187747832452697,3.503544877231396,-141034.73646111018,False,False
30,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03638793979930854,25.370296359383687,,-173877.10107330812,False,False
30,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04914070570690692,21.048644378263855,7.595918015121131,-173874.32688916387,False,False
31,M1_inverse_age_order_hard_late,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,0.035308563857778905,25.50896561740265,,-163723.9303861872,False,False
31,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.16655865331773673,18.88835779867574,59.999999999999986,-163722.79158098524,False,True
32,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04158461611629215,25.77606988222538,,-172635.85069125576,False,False
32,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.06582096374840168,21.46905185781934,11.155548801140917,-172639.65984536507,False,False
33,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.03528428098649792,25.48855877943956,,-162427.20497925865,False,False
33,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.037897976892349895,22.095460928821407,3.2834071153072797,-162423.43336844936,False,False
34,M1_inverse_age_order_hard_late,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.04015644548458986,25.326605552218062,,-145874.3734859104,False,False
34,M2_inverse_age_order_smooth_ramp,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,0.06142324024172353,18.93902170065994,13.385565554762186,-145873.21986234465,False,False
