heldout_physical_match_id,state_definition,hazard_model,log_likelihood_train,n_fit_intervals,n_fit_deaths,optimizer_success,optimizer_message,mu,a0,phi_low,phi_mid,phi_high,q,tc,tau_q
2020__2020-07-24,S0_raw,full,-161166.2021803805,347536,68172,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9145072448335192,4.77815307652522,1.3083521518216863,1.0,0.6706887512148411,0.1028684637819636,20.0,4.999999999999999
2020__2020-07-25,S0_raw,age_only,-163459.92360512464,347425,68292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3285761052704652,2.53037947668528,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-07-25,S0_raw,age_order,-161684.58078357927,347425,68292,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.911909680879962,4.752294850726232,1.3091633629648476,1.0,0.6689350353771243,0.0,25.0,5.0
2020__2020-07-25,S0_raw,full,-161210.58497426638,347425,68292,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.911909680879962,4.752294850726232,1.3091633629648476,1.0,0.6689350353771243,0.1035245183376391,20.0,4.999999999999999
2020__2020-08-01,S0_raw,age_only,-163446.8945212564,347471,68215,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.334002787234694,2.5545613842688293,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-01,S0_raw,age_order,-161669.00894655162,347471,68215,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.9239920131304824,4.804169386106379,1.3084347947288344,1.0,0.6681148669627391,0.0,25.0,5.0
2020__2020-08-01,S0_raw,full,-161189.685195891,347471,68215,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.9239920131304824,4.804169386106379,1.3084347947288344,1.0,0.6681148669627391,0.1046873314281266,20.0,4.999999999999999
2020__2020-08-02,S0_raw,age_only,-163471.3203368235,347428,68257,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3331902720384614,2.5498235446427047,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-02,S0_raw,age_order,-161705.25806184855,347428,68257,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.919919471174949,4.782325893249893,1.3067875700674425,1.0,0.6689855404720296,0.0,25.0,5.0
2020__2020-08-02,S0_raw,full,-161242.57468563344,347428,68257,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL; late residual fitted on training-only age+order base,1.919919471174949,4.782325893249893,1.3067875700674425,1.0,0.6689855404720296,0.1022660917693336,20.0,4.999999999999999
2020__2020-08-07,S0_raw,age_only,-163550.4970610613,347445,68294,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3335836304233637,2.550172925214311,1.0,1.0,1.0,0.0,25.0,5.0
2020__2020-08-07,S0_raw,age_order,-161795.44664826014,347445,68294,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.918368964940264,4.7714334214001735,1.3051092003213718,1.0,0.6698691813472827,0.0,25.0,5.0
