match_date_group_id,n_points,high_exposure_IAE,high_exposure_max_abs_error
2020__2020-07-03,35,0.0510593472053471,0.0961861135356857
2020__2020-07-04,35,0.035824477735671,0.1192612870685956
2020__2020-07-10,35,0.0473608872074814,0.1084643765305225
2020__2020-07-11,35,0.0244599855415183,0.0595531016181083
2020__2020-07-18,35,0.0729861599258583,0.1127074313250981
2020__2020-07-19,35,0.0360629957533482,0.0890160219062792
2020__2020-07-24,35,0.0244757458162504,0.106518318682787
2020__2020-07-25,35,0.0320007876092997,0.0697864554531173
2020__2020-08-01,35,0.0307813874783598,0.0648075578889517
2020__2020-08-02,35,0.0410590341928121,0.1173881194398942
2020__2020-08-07,35,0.0595221446694498,0.1256881944600086
2020__2020-08-08,35,0.0954220675057635,0.2075394102168317
2020__2020-08-12,35,0.0420898905887908,0.0989770733120196
2020__2020-08-16,35,0.0329843361355794,0.0780746242622565
2020__2020-08-22,35,0.0375589702983164,0.0779207541265042
2020__2020-08-26,35,0.0753438130860153,0.1277183799143881
2020__2020-08-30,35,0.0340067263092545,0.0880636988179121
2020__2020-09-05,35,0.0152144031646496,0.0601391768827304
2020__2020-09-12,35,0.1429409537261597,0.2082841374473147
2020__2020-09-26,35,0.1456130765935131,0.2121068753256309
2020__2020-09-27,35,0.0470872260447829,0.1445601205009896
2020__2020-10-04,35,0.0312719509723526,0.0876212319912619
2020__2020-10-18,35,0.1063335306269159,0.1387670131578658
2020__2020-11-01,35,0.0200088335887919,0.069862857416171
2020__2020-11-07,35,0.0393362536351525,0.0877426997331556
2020__2020-12-06,35,0.1166558628261685,0.1613135076723946
2021__2021-05-22,35,0.0685729530421042,0.094623446200312
2021__2021-05-29,35,0.0318883053772686,0.0670756098282036
2021__2021-06-05,35,0.1015573449049101,0.1263658593705392
2021__2021-06-22,35,0.063058259706223,0.1137534848601175
2021__2021-06-26,35,0.0568168505872936,0.0975251282414244
2021__2021-06-30,35,0.0391853173290428,0.1025296189929117
2021__2021-07-04,35,0.0461232493518087,0.0802002367908354
2021__2021-07-10,35,0.1191727946567147,0.1633243930600816
2021__2021-07-17,35,0.0395764924600267,0.090552084843246
2021__2021-08-07,35,0.0610847829079338,0.1121610493306796
2021__2021-08-14,35,0.0247519147998344,0.080038712489695
2021__2021-08-28,35,0.0740368237398055,0.1386264230806222
2021__2021-09-04,35,0.0559657462295215,0.0869117823317641
2021__2021-09-25,35,0.0306494432077065,0.0812906902647932
2021__2021-09-26,35,0.1434692896175728,0.1858475210576329
2021__2021-10-09,35,0.0509065914627441,0.0893759253491926
2021__2021-10-13,35,0.0440384938088269,0.1083657697278706
2021__2021-10-16,35,0.1614677449097366,0.1973807802114859
2021__2021-10-17,35,0.058389153994717,0.1338664782485803
2021__2021-11-07,35,0.0470526016593522,0.1057112378407373
2021__2021-11-13,35,0.042710634299673,0.1046492141339915
