age_s,estimate,ci_low,ci_high,model_name,quantity,pooled_or_crossfitted,fold_aggregation_rule,bootstrap_unit,n_bootstrap_replicates,supported_range_indicator,state_definition,conditioning_statement,prediction_type,model_estimate
19.0,0.3658463385354141,0.3375198733771308,0.3967657447205469,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3658463385354141
20.0,0.3591310251188052,0.331472977519796,0.3883493167769571,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3591310251188052
21.0,0.3590718904526436,0.3362205684633979,0.3897247690276301,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3590718904526436
22.0,0.3444444444444444,0.3199714108516377,0.3687352894840828,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3444444444444444
23.0,0.3278688524590163,0.2955097870622654,0.3493642001360136,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3278688524590163
24.0,0.3188955062263129,0.2813628545402351,0.3427737689377515,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3188955062263129
25.0,0.290519877675841,0.2562716323059834,0.3079360376009212,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.290519877675841
26.0,0.2758860319666435,0.2445303412105356,0.3070725127964571,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2758860319666435
27.0,0.273538961038961,0.2392268578769212,0.2958828144879732,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.273538961038961
28.0,0.2551020408163265,0.2230604375092605,0.286287408372598,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2551020408163265
29.0,0.2304439746300211,0.2006019247354613,0.2615818484220484,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2304439746300211
30.0,0.2271604938271605,0.2031245538746449,0.2699655084111494,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2271604938271605
31.0,0.2114285714285714,0.1708930132727301,0.2387807269754303,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2114285714285714
32.0,0.2033057851239669,0.1597291239703898,0.2219121271988306,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2033057851239669
33.0,0.1954022988505747,0.1451426853729646,0.2157004715833856,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.1954022988505747
34.0,0.174496644295302,0.1300111497631835,0.2008974671552894,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.174496644295302
35.0,0.1889763779527559,0.1443194436803636,0.2086146277932886,held-out empirical,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.1889763779527559
0.0,0.0974403816058376,0.0973421663662373,0.0975446453471797,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.0974403816058376
1.0,0.1895660171356933,0.1894783366361193,0.189671160262066,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.1895660171356933
2.0,0.2801645633220765,0.280076766023797,0.2802545898727607,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2801645633220765
3.0,0.3523313921462849,0.3522551388777546,0.3524120391596012,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3523313921462849
4.0,0.4046491761664678,0.4045769752827786,0.4047244508804924,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4046491761664678
5.0,0.4407259319611104,0.4406576352948614,0.4408062912994576,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4407259319611104
6.0,0.4648341483672032,0.4647646597534669,0.4649148074130175,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4648341483672032
7.0,0.4805452683323462,0.4804713910663918,0.4806302086618816,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4805452683323462
8.0,0.4905141306600957,0.4904368967642287,0.4906018728701314,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4905141306600957
9.0,0.4966149162282683,0.49653462579154,0.4967061706596521,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4966149162282683
10.0,0.5001381198492847,0.5000555404860654,0.5002308971286642,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5001381198492847
11.0,0.5019611333931735,0.5018785388424097,0.5020551211132099,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5019611333931735
12.0,0.5026763305592922,0.5025924259113097,0.5027724875687366,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5026763305592922
13.0,0.5026817932956588,0.5025968040918778,0.502778951236542,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5026817932956588
14.0,0.5022438990331172,0.5021580696432416,0.502341976409618,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5022438990331172
15.0,0.501539980437963,0.501453540343413,0.5016382218770272,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.501539980437963
16.0,0.5006872566636774,0.500600421129915,0.5007855594941684,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5006872566636774
17.0,0.4997624218104217,0.4996754047721652,0.4998606977892291,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4997624218104217
18.0,0.4988149055859977,0.498727860199992,0.4989138661919529,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4988149055859977
19.0,0.4978758529268151,0.4977888872928739,0.497975499640532,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4978758529268151
20.0,0.496964205520996,0.496877394496734,0.4970639853962336,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.496964205520996
21.0,0.4960908227641469,0.4960042168759139,0.496190589772399,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4960908227641469
22.0,0.4952612605167435,0.4951751842642962,0.4953609775297818,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4952612605167435
23.0,0.4944776462018501,0.4943922044695631,0.494576839608261,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4944776462018501
24.0,0.4937399454832017,0.4936551112788127,0.4938386399395646,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4937399454832017
25.0,0.4930468058035822,0.4929625507309366,0.4931450268757718,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4930468058035822
26.0,0.4923961156924749,0.4923125881313383,0.4924944111674477,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4923961156924749
27.0,0.4917853714297047,0.4917028931117386,0.4918838297812278,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4917853714297047
28.0,0.4912119135422271,0.4911297115424468,0.4913105245822762,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4912119135422271
29.0,0.4906730757492049,0.4905908615666305,0.4907718298756071,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4906730757492049
30.0,0.4901662753984018,0.4900843873346979,0.4902651636353053,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4901662753984018
31.0,0.4896890651539992,0.4896074585918068,0.4897877512931763,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4896890651539992
32.0,0.4892391593439635,0.4891578207352859,0.4893374702100049,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4892391593439635
33.0,0.4888144440294584,0.4887333602466612,0.4889123028970357,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4888144440294584
34.0,0.4884129768881667,0.4883321353368141,0.4885104066741859,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4884129768881667
35.0,0.4880329809758726,0.4879523696573954,0.4881300029126105,stationary generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4880329809758726
0.0,0.0974403816058376,0.0973421663662373,0.0975446453471797,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.0974403816058376
1.0,0.217691994120307,0.217592870238123,0.2178072890442871,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.217691994120307
2.0,0.3355574045904322,0.3354564582368965,0.3356731234394615,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3355574045904322
3.0,0.4252130104198984,0.4251077402773817,0.4253311743114581,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4252130104198984
4.0,0.4866637070157872,0.4865334831888715,0.4868026996685831,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4866637070157872
5.0,0.5266711564796185,0.5265240598745192,0.5268187327214631,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5266711564796185
6.0,0.5114817977383641,0.5113436795827865,0.5115913131965897,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5114817977383641
7.0,0.5006578292234628,0.5005043424526076,0.5007773842554428,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.5006578292234628
8.0,0.4922828465521305,0.4921139598994439,0.4924191841375592,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4922828465521305
9.0,0.4854474330462536,0.4852593846967951,0.4856030423999699,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4854474330462536
10.0,0.4796869682064948,0.4794864381790524,0.4798520155883004,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4796869682064948
11.0,0.4455944857504187,0.4454584574433331,0.4457351396790568,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4455944857504187
12.0,0.4210706882000514,0.4209061653448083,0.4212414615510363,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4210706882000514
13.0,0.4027287960663731,0.4025197082940435,0.4029486664636953,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.4027287960663731
14.0,0.3886359860467093,0.3884007746222505,0.3888935046926444,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3886359860467093
15.0,0.3776011539215158,0.3773403495282872,0.3778840392560542,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3776011539215158
16.0,0.3688388049572274,0.3685647663844328,0.369141784236511,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3688388049572274
17.0,0.3618023949302071,0.3615217186806175,0.3621194192467328,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3618023949302071
18.0,0.3560965170523499,0.3558062156649371,0.3564225690631386,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3560965170523499
19.0,0.3514273122734937,0.3511297789140941,0.3517599494337771,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3514273122734937
20.0,0.3475723974844791,0.3472670349798715,0.3479115649877061,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3475723974844791
21.0,0.3203707594194644,0.3200497217197707,0.3207437857679544,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.3203707594194644
22.0,0.2994065500911913,0.2990498211682081,0.299831542503269,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2994065500911913
23.0,0.2832370858626206,0.2828540106260613,0.2836947115185216,age-banded generative model,current_high_fraction,leave-one-physical-fixture-out,held-out physical fixture curves weighted by held-out run count,physical_fixture_id,500,True,S0_raw,current High-order fraction among runs alive at run age,leave_one_physical_fixture_out,0.2832370858626206
